open,high,low,close,volume,change
164.00,168.99,161.01,165.82,"11,026,862",2.56
172.00,172.00,161.00,163.26,"13,721,642",-5.57
173.50,174.50,168.02,168.83,"8,009,443",-2.74
162.50,171.80,161.01,171.57,"19,715,193",11.75
167.99,169.00,162.50,164.22,"6,802,001",-4.39
176.25,177.50,165.30,168.61,"17,617,561",-6.85
178.50,181.00,175.00,175.46,"5,813,451",-2.33
178.38,180.50,176.71,177.79,"9,341,911",-0.59
174.62,182.98,174.25,178.38,"35,844,738",4.05
176.99,176.99,173.20,174.33,"5,196,043",-1.33
176.50,178.17,174.98,175.66,"9,136,464",-0.74
177.95,179.30,175.00,176.40,"9,187,399",0.48
179.99,179.99,175.00,175.92,"14,924,088",-4.40
178.99,183.25,176.56,180.32,"35,943,393",4.28
173.40,177.48,172.60,176.04,"19,135,056",6.62
170.99,171.70,166.15,169.42,"14,037,869",-0.89
176.00,177.29,169.00,170.31,"18,264,259",-4.00
172.50,177.00,171.99,174.31,"14,040,121",-0.39
176.05,182.00,172.81,174.70,"28,373,868",-0.97
179.00,180.25,174.56,175.67,"15,724,939",-6.50
178.49,184.20,173.70,182.17,"28,515,684",3.99
173.49,178.18,171.65,178.18,"17,906,226",12.43
163.50,167.10,158.75,165.75,"14,742,945",3.39
172.50,176.79,160.00,162.36,"29,912,848",-4.96
155.40,168.34,155.05,167.32,"18,272,100",10.72
167.25,168.62,155.98,156.60,"17,755,237",-12.02
185.00,185.49,165.01,168.62,"25,959,891",-9.71
177.75,182.49,177.01,178.33,"16,969,459",0.93
181.50,181.80,176.10,177.40,"18,325,808",-1.93
182.00,185.00,177.50,179.33,"21,793,556",-2.36
176.75,186.49,174.50,181.69,"53,589,852",5.52
169.45,182.00,167.80,176.17,"23,642,363",4.54
174.25,174.50,169.00,171.63,"30,209,797",-1.59
169.49,177.38,167.00,173.22,"46,695,449",8.21
163.00,165.01,159.40,165.01,"18,897,519",11.51
162.50,165.25,152.81,153.50,"22,783,183",-11.69
165.00,168.35,164.10,165.19,"16,199,233",1.43
165.99,166.30,162.10,163.76,"11,117,098",-1.62
163.40,167.20,159.80,165.38,"19,365,174",2.95
166.00,169.70,159.00,162.43,"28,495,979",-6.26
162.10,171.00,158.50,168.69,"42,135,941",9.08
152.00,159.61,151.10,159.61,"28,991,471",11.13
139.40,148.48,138.31,148.48,"28,685,679",10.35
140.50,141.50,133.75,138.13,"38,315,889",1.09
130.00,137.04,129.25,137.04,"20,647,164",9.56
